Big Fish,Adventure,Drama,Fantasy
Elf,Adventure,Comedy,Family
Midnight in Paris,Comedy,Fantasy,Romance
The Ballad of Buster Scruggs,Comedy,Drama,Musical
Cocktail,Comedy,Drama,Romance
Weird Science,Comedy,Romance,Sci-Fi
Cinderella,Comedy,Family,Fantasy
Swiss Army Man,Comedy,Drama,Fantasy
Cinderella,Adventure,Drama,Family
The Graduate,Comedy,Drama,Romance
Immortals,Action,Drama,Fantasy
Aladdin,Animation,Adventure,Comedy
Peggy Sue Got Married,Comedy,Drama,Fantasy
Footloose,Comedy,Drama,Music
The Time Traveler's Wife,Comedy,Drama,Fantasy
Little Shop of Horrors,Comedy,Horror,Musical
To All the Boys I've Loved Before,Comedy,Drama,Romance
Stardust,Adventure,Family,Fantasy
Reminiscence,Mystery,Romance,Sci-Fi
Father of the Bride,Comedy,Family,Romance
Rock of Ages,Comedy,Drama,Musical
Yesterday,Comedy,Fantasy,Music
Lolita,Crime,Drama,Romance
Cabaret,Drama,Music,Musical
Robin Hood: Men in Tights,Adventure,Comedy,Musical
Disney's Snow White,Adventure,Drama,Family
It's a Wonderful Life,Drama,Family,Fantasy
I love you,Comedy,Drama,Romance
Forgetting Sarah Marshall,Comedy,Drama,Romance
The Mask of Zorro,Action,Adventure,Comedy
Mamma Mia! Here We Go Again,Comedy,Musical,Romance
Beauty and the Beast,Animation,Family,Fantasy
Sleepless in Seattle,Comedy,Drama,Romance
Vanilla Sky,Fantasy,Mystery,Romance
El Dorado,Drama,Romance,Western
West Side Story,Crime,Drama,Musical
Murder Mystery,Action,Comedy,Crime
Sotto il sole di Amalfi,Comedy,Drama,Romance
Adventures in Babysitting,Adventure,Comedy,Crime
The Beach,Adventure,Drama,Romance
Little Women,Drama,Family,Romance
The Eyes of Tammy Faye,Biography,Drama,Romance
Ghost,Drama,Fantasy,Romance
The Little Mermaid,Animation,Adventure,Comedy
Breakfast at Tiffany's,Comedy,Drama,Romance
The Secret Life of Walter Mitty,Adventure,Comedy,Drama
Varsity Blues,Comedy,Drama,Romance
Pretty in Pink,Comedy,Drama,Romance
The Proposal,Comedy,Drama,Romance
Moonrise Kingdom,Comedy,Drama,Romance
Legends of the Fall,Drama,Romance,War
Big,Comedy,Drama,Fantasy
Rebecca,Drama,Mystery,Romance
Empire Records,Comedy,Drama,Music
Say Anything...,Comedy,Drama,Romance
The Danish Girl,Biography,Drama,Romance
American Gigolo,Crime,Drama,Mystery
Cashback,Comedy,Drama,Romance
The King's Daughter,Action,Adventure,Family
Groundhog Day,Comedy,Drama,Fantasy
Slumdog Millionaire,Crime,Drama,Romance
The English Patient,Drama,Romance,War
In the Heights,Drama,Musical,Romance
13 Going on 30,Comedy,Fantasy,Romance
Enchanted,Animation,Adventure,Comedy
Never Let Me Go,Drama,Romance,Sci-Fi
The Little Rascals,Comedy,Family,Romance
This Is 40,Comedy,Drama,Romance
Vertigo,Mystery,Romance,Thriller
Maleficent,Adventure,Family,Fantasy
Flashdance,Drama,Music,Romance
Wo hu cang long,Action,Adventure,Drama
Coyote Ugly,Comedy,Drama,Music
Robots,Animation,Adventure,Comedy
Sex and the City 2,Comedy,Drama,Romance
She's the Man,Comedy,Romance,Sport
My Girl,Comedy,Drama,Family
Miss Congeniality,Action,Comedy,Crime
Some Like It Hot,Comedy,Music,Romance
Teen Wolf,Comedy,Fantasy,Romance
Am I OK?,Comedy,Drama,Romance
Shallow Hal,Comedy,Drama,Fantasy
The Princess and the Frog,Animation,Adventure,Comedy
Marie Antoinette,Biography,Drama,History
The New World,Biography,Drama,History
Mr. Nobody,Drama,Fantasy,Romance
The In Between,Drama,Romance,Sci-Fi
Peter Pan,Adventure,Family,Fantasy
Crimson Peak,Drama,Horror,Mystery
Easy A,Comedy,Drama,Romance
Summer of Sam,Crime,Drama,Romance
Blast from the Past,Comedy,Drama,Romance
Hairspray,Comedy,Drama,Musical
Bill &amp; Ted's Excellent Adventure,Adventure,Comedy,Music
Shrek 2,Animation,Adventure,Comedy
Puss in Boots: The Last Wish,Animation,Adventure,Comedy
The Hot Spot,Crime,Drama,Romance
Mystic Pizza,Comedy,Drama,Romance
Focus,Comedy,Crime,Drama
The Piano,Drama,Music,Romance
The Story of Three Loves,Drama,Fantasy,Music
Now and Then,Comedy,Drama,Romance
As Good as It Gets,Comedy,Drama,Romance
Step Up,Crime,Drama,Music
Across the Universe,Drama,Fantasy,History
Romancing the Stone,Action,Adventure,Comedy
The Talk of the Town,Comedy,Drama,Romance
Dick Tracy,Action,Comedy,Crime
Working Girl,Comedy,Drama,Romance
The Twilight Saga: New Moon,Adventure,Drama,Fantasy
Ich bin dein Mensch,Comedy,Drama,Romance
Funny Girl,Biography,Comedy,Drama
Australia,Adventure,Drama,Romance
Earth Girls Are Easy,Comedy,Musical,Romance
Avec amour et acharnement,Drama,Romance,Thriller
Walk the Line,Biography,Drama,Music
Body Heat,Crime,Drama,Romance
The Twilight Saga: Eclipse,Action,Adventure,Drama
The Bodyguard,Action,Drama,Music
Begin Again,Comedy,Drama,Music
The Twilight Saga: Breaking Dawn - Part 1,Adventure,Drama,Fantasy
The High Note,Drama,Music,Romance
The Theory of Everything,Biography,Drama,Romance
Pal Joey,Drama,Musical,Romance
The Guernsey Literary and Potato Peel Pie Society,Drama,Romance,War
The Quick and the Dead,Action,Romance,Thriller
El secreto de sus ojos,Drama,Mystery,Romance
Practical Magic,Comedy,Drama,Fantasy
Explorers,Adventure,Comedy,Family
