The Operative,Action,Drama,Mystery
Wasabi,Action,Drama,Comedy
Murderers' Row,Action,Adventure,Comedy
Killers Anonymous,Action,Crime,Mystery
Antim: The Final Truth,Action,Crime,Drama
Desperate Hours,Action,Crime,Drama
Baiohazado: Damuneshon,Animation,Action,Horror
Batman: Gotham by Gaslight,Animation,Action,Adventure
A Sound of Thunder,Action,Adventure,Horror
Kaisokuou ni ore wa naru,Animation,Action,Adventure
Turbo: A Power Rangers Movie,Action,Adventure,Family
Excess Baggage,Action,Comedy,Crime
Dirty Mary Crazy Larry,Action,Crime,Thriller
In Hell,Action,Drama,Thriller
When Worlds Collide,Action,Sci-Fi,Thriller
Bleach: Burîchu,Action,Adventure,Fantasy
Lady Bloodfight,Action,Crime,Drama
Radhe,Action,Crime,Thriller
Rise of the Footsoldier 3,Action,Comedy,Crime
La isla mínima,Action,Crime,Mystery
The Hard Way,Action,Comedy,Crime
American Ninja 2: The Confrontation,Action,Comedy,Drama
Yat goh ho yan,Action,Adventure,Comedy
Man-Thing,Action,Adventure,Horror
Bullet,Action,Crime,Drama
Kull the Conqueror,Action,Adventure,Fantasy
Da hong zha,Action,Adventure,Drama
Haider,Action,Crime,Drama
Constantine: City of Demons,Animation,Action,Fantasy
Lik wong,Action,Comedy,Crime
One Piece Film: Gold,Animation,Action,Adventure
Allan Quatermain and the Lost City of Gold,Action,Adventure,Comedy
The Last Mimzy,Action,Adventure,Drama
10.0 Earthquake,Action,Adventure,Drama
The Tiger's Apprentice,Animation,Action,Adventure
Sorceress,Action,Adventure,Fantasy
Smokey and the Bandit Part 3,Action,Comedy,Crime
Attack of the Unknown,Action,Horror,Sci-Fi
New York Ninja,Action,Crime,Thriller
Ggeutggaji ganda,Action,Crime,Thriller
Minecraft,Action,Adventure,Family
Welcome to the Jungle,Action,Adventure,Comedy
Flash Gordon,Action,Adventure,Family
Archenemy,Action,Adventure,Crime
Arn: Tempelriddaren,Action,Drama,Romance
Ambulancen,Action,Drama,Thriller
Super Fly,Action,Crime,Drama
The Legend of Conan,Action,Adventure,Fantasy
Bis ans Ende der Welt,Action,Drama,Sci-Fi
Coffee &amp; Kareem,Action,Comedy,Crime
4 Horsemen: Apocalypse,Action,Adventure,Fantasy
Ishtar,Action,Adventure,Comedy
Hai Phuong,Action,Drama,Thriller
High Ground,Action,Adventure,Drama
The Ballad of Lefty Brown,Action,Drama,Western
Victor Crowley,Action,Comedy,Horror
White Heat,Action,Crime,Drama
El día de la bestia,Action,Adventure,Comedy
Spider-Man: Beyond the Spider-Verse,Animation,Action,Adventure
Kimetsu no Yaiba: Natagumo Yama Hen,Animation,Action,Fantasy
Men at Work,Action,Comedy,Crime
Terminal Island,Action,Drama,Thriller
Cockneys vs Zombies,Action,Comedy,Horror
Flight of the Intruder,Action,Drama,Thriller
Gekijouban Bishoujo Senshi Sailor Moon Eternal,Animation,Action,Adventure
Død snø 2,Action,Comedy,Fantasy
Proud Mary,Action,Crime,Drama
Patient Zero,Action,Drama,Horror
Term Life,Action,Crime,Drama
Gupt: The Hidden Truth,Action,Crime,Mystery
Sultan,Action,Drama,Sport
Black Gold,Action,Drama,History
Kuai can che,Action,Comedy,Crime
Bend of the River,Action,Adventure,Romance
Qing Ya Ji,Action,Drama,Fantasy
Bronco Billy,Action,Adventure,Comedy
Desperate Measures,Action,Crime,Drama
Murphy's Law,Action,Crime,Drama
Hatchet III,Action,Comedy,Horror
Sentinelle,Action,Crime,Drama
The 51st State,Action,Comedy,Crime
Traitor,Action,Crime,Drama
Beyond the Mask,Action,Adventure,Drama
Takht,Action,Drama,History
The Flyboys,Action,Adventure,Drama
Take Down,Action,Adventure,Crime
The Domestics,Action,Horror,Sci-Fi
Etharkkum Thunindhavan,Action,Crime,Drama
Edge of Fear,Action,Crime,Thriller
Satya,Action,Crime,Drama
Sadece sen,Action,Drama,Romance
Cherrybomb,Action,Drama,Romance
The Devil's Brigade,Action,Drama,War
Wonder Woman: Bloodlines,Animation,Action,Fantasy
The Return of Swamp Thing,Action,Adventure,Comedy
Hellfighters,Action,Adventure,Drama
Dhoom:3,Action,Crime,Drama
Reprisal,Action,Drama,Thriller
8 Million Ways to Die,Action,Crime,Drama
Wong Fei Hung,Action,Adventure,History
The Octagon,Action,Drama,Romance
My Science Project,Action,Adventure,Comedy
